"pAge","pGender","pIMDquintile","state","pCohort","pEducationalLevel","pSEP","pRegion","pSocialHousing","pMentalHealthCondition","pAlcoholConsumption","pNRTUse","pYearsSinceQuit","pExpenditure","pECigUse","pVareniclineUse","pCigConsumptionPrequit","cAge","oAge","mAge","mGender","oEducationalLevel","oSEP","oGeographicLocality","oSocialHousing","cMentalHealthConditions","cAlcoholConsumption","oAlcoholConsumption","cPrescriptionNRT","mUseOfNRT","cEcigaretteUse","cCigConsumptionPrequit","mSpendingOnCig","cVareniclineUse","cCigAddictStrength","mEnjoymentOfSmoking","cUseOfBehaviourSupport","mIntentionToQuit","mDesireToStopSmoking","mNumberOfRecentQuitAttempts","mSmokerIdentity"
30,1,1,"ex-smoker",17,1,1,6,2,NA,11,NA,7,23,2,2,17.1428571428571,30,30,30,1,1,1,6,2,NA,11,11,NA,NA,1,17,23,2,3,NA,"0",1,1,2,-1
39,2,2,"ongoingquitter3",15,3,3,6,2,NA,5,2,1,80,1,1,28.5714285714286,39,39,39,2,3,3,6,2,NA,5,5,2,2,1,28,80,1,2,NA,"1",2,2,9,-1
27,2,1,"ongoingquitter11",17,1,1,6,4,0,6,NA,2,8,2,2,57.1428571428571,27,27,27,2,1,1,6,4,0,6,6,NA,NA,2,57,8,2,4,NA,"0",2,2,0,1
26,1,1,"ex-smoker",17,4,3,6,4,NA,5,NA,5,38,1,1,1,26,26,26,1,4,3,6,4,NA,5,5,NA,NA,2,1,38,1,4,NA,"0",2,1,1,2
38,1,1,"newquitter",15,1,1,6,2,NA,5,NA,10,70,2,1,10,38,38,38,1,1,1,6,2,NA,5,5,NA,NA,1,10,70,1,3,NA,"0",1,2,9,2
80,1,2,"ongoingquitter8",7,1,1,6,1,NA,NA,NA,15,70,2,1,13,80,80,80,1,1,1,6,1,NA,NA,NA,NA,NA,2,13,70,1,6,NA,"1",1,1,20,-1
73,1,2,"ongoingquitter2",7,4,2,6,4,0,9,NA,9,54,1,2,0.666666666666667,73,73,73,1,4,2,6,4,0,9,9,NA,NA,2,0,54,2,5,NA,"0",2,1,4,2
70,2,4,"ex-smoker",9,7,3,2,1,0,5,2,0,21,1,2,80,70,70,70,2,7,3,2,1,0,5,5,2,2,1,80,21,2,3,NA,"0",2,2,4,-1
41,1,3,"ex-smoker",15,2,3,2,2,0,10,1,0,16,1,2,3,41,41,41,1,2,3,2,2,0,10,10,1,1,2,3,16,2,5,NA,"1",2,2,9,2
27,2,4,"ex-smoker",17,1,1,2,2,NA,5,NA,10,47,1,1,3.42857142857143,27,27,27,2,1,1,2,2,NA,5,5,NA,NA,1,3,47,1,6,NA,"1",1,1,9,1
52,1,2,"ex-smoker",12,2,3,4,1,0,6,NA,20,57,1,2,2.14285714285714,52,52,52,1,2,3,4,1,0,6,6,NA,NA,2,2,57,2,6,NA,"1",2,2,0,2
49,1,2,"newquitter",13,4,3,4,4,0,7,NA,17,36,2,2,35,49,49,49,1,4,3,4,4,0,7,7,NA,NA,1,35,36,2,2,NA,"1",1,1,5,1
55,1,2,"ex-smoker",11,7,1,4,4,0,5,NA,7,44,1,2,0.666666666666667,55,55,55,1,7,1,4,4,0,5,5,NA,NA,2,0,44,2,3,NA,"0",1,2,4,2
79,1,2,"newquitter",7,7,1,4,4,0,5,NA,6,16,1,1,24,79,79,79,1,7,1,4,4,0,5,5,NA,NA,1,24,16,1,6,NA,"0",1,1,2,-1
23,2,2,"newquitter",17,1,3,4,4,NA,12,2,0,22,2,2,18,23,23,23,2,1,3,4,4,NA,12,12,2,2,1,18,22,2,4,NA,"0",2,2,52,-1
43,1,2,"ex-smoker",13,4,3,4,2,0,6,NA,20,45,2,1,11,43,43,43,1,4,3,4,2,0,6,6,NA,NA,1,11,45,1,5,NA,"0",1,2,7,2
20,2,2,"ongoingquitter1",19,7,3,4,4,NA,5,NA,NA,86,2,2,7,20,20,20,2,7,3,4,4,NA,5,5,NA,NA,2,7,86,2,4,NA,"0",1,2,3,1
22,2,3,"ongoingquitter4",18,2,3,2,4,NA,5,NA,2,175,2,1,24,22,22,22,2,2,3,2,4,NA,5,5,NA,NA,1,24,175,1,6,NA,"0",2,2,5,-1
54,2,2,"ongoingquitter3",11,2,1,2,1,0,5,NA,33,100,1,1,16,54,54,54,2,2,1,2,1,0,5,5,NA,NA,1,16,100,1,6,NA,"1",1,2,1,1
65,1,4,"newquitter",9,7,2,2,1,0,2,NA,25,45,2,2,5,65,65,65,1,7,2,2,1,0,2,2,NA,NA,1,5,45,2,5,NA,"1",1,1,3,-1
72,2,4,"ongoingquitter9",8,7,3,2,1,0,2,NA,25,19,1,2,26,72,72,72,2,7,3,2,1,0,2,2,NA,NA,2,26,19,2,2,NA,"1",2,2,20,2
31,2,4,"ongoingquitter4",17,7,2,2,4,NA,7,2,0,50,1,2,23,31,31,31,2,7,2,2,4,NA,7,7,2,2,2,23,50,2,4,NA,"0",1,2,9,2
69,1,2,"ex-smoker",9,2,2,2,1,0,8,NA,20,55,2,1,1.14285714285714,69,69,69,1,2,2,2,1,0,8,8,NA,NA,2,1,55,1,2,NA,"0",2,2,52,2
56,2,3,"ongoingquitter3",11,3,3,2,1,0,9,NA,8,110,1,1,11,56,56,56,2,3,3,2,1,0,9,9,NA,NA,2,11,110,1,5,NA,"0",2,1,1,2
77,2,4,"ex-smoker",7,3,2,5,1,0,2,NA,32,8,2,2,17,77,77,77,2,3,2,5,1,0,2,2,NA,NA,2,17,8,2,5,NA,"1",1,2,8,-1
78,1,4,"ongoingquitter10",7,7,3,5,1,NA,8,NA,34,50,1,2,1,78,78,78,1,7,3,5,1,NA,8,8,NA,NA,2,1,50,2,1,NA,"1",1,2,4,1
25,2,5,"ongoingquitter6",17,4,NA,4,4,NA,5,NA,9,30,2,1,2.85714285714286,25,25,25,2,4,NA,4,4,NA,5,5,NA,NA,2,2,30,1,6,NA,"0",1,2,5,2
50,2,2,"ex-smoker",13,4,3,4,2,0,4,NA,38,47,1,1,35,50,50,50,2,4,3,4,2,0,4,4,NA,NA,1,35,47,1,4,NA,"1",1,1,8,1
55,1,3,"ex-smoker",11,4,3,4,2,0,8,NA,17,11,1,2,19,55,55,55,1,4,3,4,2,0,8,8,NA,NA,1,19,11,2,6,NA,"0",1,1,1,2
43,2,3,"ex-smoker",13,3,1,4,2,1,11,NA,6,5,1,2,9,43,43,43,2,3,1,4,2,1,11,11,NA,NA,2,9,5,2,1,NA,"1",2,1,8,1
28,2,4,"ex-smoker",17,4,2,4,4,NA,5,2,0,48,2,2,2.14285714285714,28,28,28,2,4,2,4,4,NA,5,5,2,2,1,2,48,2,4,NA,"0",1,2,3,-1
23,1,5,"ex-smoker",17,3,3,4,4,NA,9,2,1,54,2,1,21.4285714285714,23,23,23,1,3,3,4,4,NA,9,9,2,2,1,21,54,1,2,NA,"1",2,1,0,1
26,2,5,"ex-smoker",17,5,3,4,4,0,4,NA,3,52,1,2,14.2857142857143,26,26,26,2,5,3,4,4,0,4,4,NA,NA,2,14,52,2,1,NA,"0",2,1,52,1
53,2,2,"ongoingquitter5",11,1,2,9,2,NA,10,NA,23,28,2,2,4,53,53,53,2,1,2,9,2,NA,10,10,NA,NA,1,4,28,2,5,NA,"0",2,2,20,2
86,1,3,"ex-smoker",5,2,3,9,1,0,4,NA,30,140,2,1,1.14285714285714,86,86,86,1,2,3,9,1,0,4,4,NA,NA,2,1,140,1,5,NA,"0",1,2,7,1
47,2,4,"newquitter",13,4,3,9,4,1,3,NA,3,210,1,1,35,47,47,47,2,4,3,9,4,1,3,3,NA,NA,1,35,210,1,5,NA,"0",2,1,9,-1
77,1,2,"ex-smoker",7,1,1,8,1,0,6,NA,56,72,2,1,0.285714285714286,77,77,77,1,1,1,8,1,0,6,6,NA,NA,2,0,72,1,5,NA,"0",2,2,5,1
70,1,3,"ex-smoker",9,1,1,8,1,0,12,NA,51,175,1,2,24,70,70,70,1,1,1,8,1,0,12,12,NA,NA,2,24,175,2,3,NA,"0",1,1,0,2
74,1,1,"newquitter",7,5,3,8,1,0,11,NA,54,19,1,2,2.57142857142857,74,74,74,1,5,3,8,1,0,11,11,NA,NA,1,2,19,2,2,NA,"1",2,1,6,-1
63,2,2,"ex-smoker",9,2,1,8,1,NA,8,NA,20,80,2,2,0.666666666666667,63,63,63,2,2,1,8,1,NA,8,8,NA,NA,2,0,80,2,1,NA,"0",2,1,8,2
75,1,4,"ex-smoker",7,5,3,1,1,0,4,NA,40,37,2,2,33,75,75,75,1,5,3,1,1,0,4,4,NA,NA,2,33,37,2,3,NA,"0",1,2,0,2
77,2,4,"ex-smoker",7,7,3,1,1,0,4,NA,40,23,2,1,39,77,77,77,2,7,3,1,1,0,4,4,NA,NA,1,39,23,1,6,NA,"0",1,2,4,1
64,2,4,"ongoingquitter8",9,5,3,1,1,0,6,NA,42,38,2,2,17.8571428571429,64,64,64,2,5,3,1,1,0,6,6,NA,NA,1,17,38,2,3,NA,"0",2,1,3,-1
65,1,4,"ongoingquitter8",9,5,1,1,1,0,11,NA,42,72,1,1,27,65,65,65,1,5,1,1,1,0,11,11,NA,NA,1,27,72,1,5,NA,"0",2,1,12,-1
53,2,2,"newquitter",11,3,1,6,4,0,5,NA,10,40,1,2,7,53,53,53,2,3,1,6,4,0,5,5,NA,NA,1,7,40,2,1,NA,"1",1,2,10,2
62,1,2,"ongoingquitter4",10,7,3,6,4,0,5,NA,3,47,2,1,24,62,62,62,1,7,3,6,4,0,5,5,NA,NA,1,24,47,1,4,NA,"1",1,2,1,-1
81,1,4,"ex-smoker",7,1,1,6,4,0,10,NA,40,56,2,1,5,81,81,81,1,1,1,6,4,0,10,10,NA,NA,2,5,56,1,1,NA,"0",2,1,6,2
65,1,1,"ex-smoker",9,3,2,6,2,0,9,NA,30,46,2,1,5.71428571428571,65,65,65,1,3,2,6,2,0,9,9,NA,NA,1,5,46,1,3,NA,"0",2,2,12,1
38,1,2,"ongoingquitter5",15,4,3,6,2,NA,7,NA,10,17,1,1,27,38,38,38,1,4,3,6,2,NA,7,7,NA,NA,2,27,17,1,6,NA,"1",2,2,7,-1
37,1,2,"newquitter",15,2,1,6,2,0,5,NA,6,56,2,2,100,37,37,37,1,2,1,6,2,0,5,5,NA,NA,2,100,56,2,1,NA,"0",1,1,0,-1
36,2,4,"ongoingquitter3",15,3,1,2,2,NA,5,NA,16,25,1,2,22.8571428571429,36,36,36,2,3,1,2,2,NA,5,5,NA,NA,1,22,25,2,4,NA,"0",1,1,2,1
35,1,3,"ongoingquitter9",15,1,1,2,2,0,6,NA,5,10,1,1,25,35,35,35,1,1,1,2,2,0,6,6,NA,NA,2,25,10,1,2,NA,"0",1,1,9,-1
20,2,2,"ex-smoker",19,3,2,2,2,0,6,2,0,43,1,2,3.42857142857143,20,20,20,2,3,2,2,2,0,6,6,2,2,1,3,43,2,4,NA,"0",1,1,1,2
57,1,3,"newquitter",11,7,2,2,1,0,5,NA,8,101,1,1,30,57,57,57,1,7,2,2,1,0,5,5,NA,NA,2,30,101,1,4,NA,"1",1,2,52,2
38,1,5,"ongoingquitter7",15,7,2,2,2,NA,1,NA,6,90,1,2,60,38,38,38,1,7,2,2,2,NA,1,1,NA,NA,1,60,90,2,1,NA,"0",1,2,8,2
52,2,4,"ex-smoker",12,4,3,2,2,1,2,NA,26,6,2,1,2.28571428571429,52,52,52,2,4,3,2,2,1,2,2,NA,NA,2,2,6,1,5,NA,"0",2,2,20,2
48,1,2,"ongoingquitter10",13,4,3,3,2,NA,7,NA,20,1,2,1,0.2,48,48,48,1,4,3,3,2,NA,7,7,NA,NA,1,0,1,1,3,NA,"1",2,2,10,-1
36,2,2,"ex-smoker",15,3,2,3,2,0,1,NA,10,31,2,1,17.8571428571429,36,36,36,2,3,2,3,2,0,1,1,NA,NA,2,17,31,1,1,NA,"1",1,1,12,-1
84,2,2,"ex-smoker",5,7,3,3,4,0,1,NA,50,2,1,1,60,84,84,84,2,7,3,3,4,0,1,1,NA,NA,1,60,2,1,5,NA,"1",2,2,20,-1
71,1,3,"ex-smoker",9,2,1,3,4,0,2,NA,40,41,1,1,3.57142857142857,71,71,71,1,2,1,3,4,0,2,2,NA,NA,1,3,41,1,1,NA,"1",2,2,6,1
73,2,2,"ex-smoker",7,6,2,3,1,0,5,NA,40,6,2,1,40,73,73,73,2,6,2,3,1,0,5,5,NA,NA,2,40,6,1,5,NA,"0",1,1,10,1
38,1,3,"newquitter",15,2,1,2,2,0,4,NA,15,96,1,2,24,38,38,38,1,2,1,2,2,0,4,4,NA,NA,1,24,96,2,5,NA,"1",1,1,12,1
71,1,1,"ongoingquitter8",9,7,2,2,1,0,11,NA,26,110,2,1,45,71,71,71,1,7,2,2,1,0,11,11,NA,NA,2,45,110,1,1,NA,"0",1,2,20,2
68,2,1,"ex-smoker",9,7,2,2,1,0,11,NA,3,48,2,1,11.4285714285714,68,68,68,2,7,2,2,1,0,11,11,NA,NA,1,11,48,1,6,NA,"0",1,2,20,2
59,1,5,"ex-smoker",11,7,3,2,2,0,5,NA,10,9998,1,1,8.57142857142857,59,59,59,1,7,3,2,2,0,5,5,NA,NA,2,8,9998,1,3,NA,"1",2,2,12,1
85,1,3,"ongoingquitter1",5,1,1,2,2,0,7,NA,52,50,2,2,28,85,85,85,1,1,1,2,2,0,7,7,NA,NA,1,28,50,2,5,NA,"0",1,2,10,1
46,1,5,"ongoingquitter4",13,4,3,2,2,0,12,NA,6,28,2,2,2.14285714285714,46,46,46,1,4,3,2,2,0,12,12,NA,NA,1,2,28,2,6,NA,"1",2,1,7,2
44,2,5,"ex-smoker",13,7,3,2,2,NA,12,NA,7,42,1,1,4.28571428571429,44,44,44,2,7,3,2,2,NA,12,12,NA,NA,1,4,42,1,6,NA,"0",2,1,4,2
70,1,5,"ex-smoker",9,7,3,2,4,NA,8,NA,32,56,2,1,8.57142857142857,70,70,70,1,7,3,2,4,NA,8,8,NA,NA,1,8,56,1,2,NA,"0",1,2,10,-1
70,2,2,"ex-smoker",9,1,1,8,1,0,5,NA,30,110,1,2,1.42857142857143,70,70,70,2,1,1,8,1,0,5,5,NA,NA,2,1,110,2,3,NA,"0",2,1,8,-1
48,2,3,"ex-smoker",13,3,2,8,2,NA,8,NA,20,32,2,1,4,48,48,48,2,3,2,8,2,NA,8,8,NA,NA,1,4,32,1,4,NA,"1",1,1,2,-1
57,2,3,"ex-smoker",11,2,1,8,1,0,8,NA,22,105,2,2,14,57,57,57,2,2,1,8,1,0,8,8,NA,NA,2,14,105,2,4,NA,"0",1,2,20,1
83,1,3,"ex-smoker",5,1,1,8,1,0,9,NA,50,65,2,2,100,83,83,83,1,1,1,8,1,0,9,9,NA,NA,2,100,65,2,1,NA,"0",2,1,2,-1
69,1,3,"ex-smoker",9,1,2,8,1,0,8,NA,40,26,1,2,80,69,69,69,1,1,2,8,1,0,8,8,NA,NA,1,80,26,2,4,NA,"1",1,2,5,1
81,1,2,"newquitter",7,3,1,8,1,0,10,NA,58,38,1,2,18,81,81,81,1,3,1,8,1,0,10,10,NA,NA,2,18,38,2,4,NA,"0",1,1,5,1
70,2,2,"ex-smoker",9,4,1,8,1,NA,10,NA,25,23,2,1,15,70,70,70,2,4,1,8,1,NA,10,10,NA,NA,2,15,23,1,2,NA,"0",2,2,52,2
33,2,1,"ex-smoker",15,7,1,8,4,NA,12,NA,12,41,2,1,12,33,33,33,2,7,1,8,4,NA,12,12,NA,NA,2,12,41,1,3,NA,"1",2,2,1,2
75,1,2,"ex-smoker",7,2,1,8,1,NA,10,NA,15,3,2,1,5.71428571428571,75,75,75,1,2,1,8,1,NA,10,10,NA,NA,1,5,3,1,1,NA,"0",1,2,1,-1
35,1,2,"ongoingquitter5",15,7,1,8,4,0,6,NA,3,36,1,2,2.14285714285714,35,35,35,1,7,1,8,4,0,6,6,NA,NA,1,2,36,2,5,NA,"1",1,2,8,2
69,1,1,"ex-smoker",9,4,2,8,4,NA,8,NA,25,78,2,2,19,69,69,69,1,4,2,8,4,NA,8,8,NA,NA,1,19,78,2,5,NA,"0",2,1,5,1
43,1,4,"ex-smoker",13,4,3,8,4,NA,12,NA,22,62,2,2,40,43,43,43,1,4,3,8,4,NA,12,12,NA,NA,2,40,62,2,5,NA,"1",1,1,1,1
33,2,4,"ex-smoker",15,2,3,8,4,NA,12,NA,9,29,2,2,45,33,33,33,2,2,3,8,4,NA,12,12,NA,NA,2,45,29,2,4,NA,"0",2,1,4,-1
36,1,1,"ongoingquitter6",15,1,2,8,4,NA,8,NA,3,20,2,2,14.2857142857143,36,36,36,1,1,2,8,4,NA,8,8,NA,NA,1,14,20,2,2,NA,"1",2,1,5,1
36,1,4,"ex-smoker",15,5,3,8,4,NA,4,NA,6,86,1,2,15,36,36,36,1,5,3,8,4,NA,4,4,NA,NA,1,15,86,2,6,NA,"0",1,1,2,1
38,2,1,"ongoingquitter1",15,1,1,8,4,NA,7,NA,14,78,1,2,6,38,38,38,2,1,1,8,4,NA,7,7,NA,NA,1,6,78,2,5,NA,"1",1,1,12,-1
36,1,1,"ongoingquitter8",15,1,1,8,4,0,8,NA,14,17,1,1,2,36,36,36,1,1,1,8,4,0,8,8,NA,NA,2,2,17,1,1,NA,"0",1,2,7,-1
29,2,3,"ongoingquitter3",17,4,3,7,4,1,1,NA,11,8,1,2,60,29,29,29,2,4,3,7,4,1,1,1,NA,NA,1,60,8,2,3,NA,"0",1,2,10,1
35,1,3,"ex-smoker",15,1,3,7,4,0,1,NA,12,23,2,1,20,35,35,35,1,1,3,7,4,0,1,1,NA,NA,2,20,23,1,1,NA,"1",1,1,5,1
37,2,4,"ex-smoker",15,1,1,7,NA,NA,6,NA,10,84,1,2,10.7142857142857,37,37,37,2,1,1,7,NA,NA,6,6,NA,NA,1,10,84,2,5,NA,"1",1,1,1,1
48,2,4,"ongoingquitter10",13,1,1,7,2,0,5,NA,25,36,2,2,17.1428571428571,48,48,48,2,1,1,7,2,0,5,5,NA,NA,2,17,36,2,4,NA,"0",2,2,52,1
55,1,2,"ex-smoker",11,4,3,6,2,NA,4,NA,34,19,1,2,18.5714285714286,55,55,55,1,4,3,6,2,NA,4,4,NA,NA,2,18,19,2,6,NA,"1",1,1,12,-1
84,1,2,"ex-smoker",5,7,3,6,1,0,2,NA,8,100,1,1,0.571428571428571,84,84,84,1,7,3,6,1,0,2,2,NA,NA,1,0,100,1,6,NA,"1",2,2,8,1
81,1,2,"ongoingquitter1",7,2,1,6,4,0,2,NA,31,38,1,2,4,81,81,81,1,2,1,6,4,0,2,2,NA,NA,2,4,38,2,3,NA,"1",2,2,1,1
40,2,1,"ongoingquitter6",15,4,2,6,2,NA,4,NA,7,8,1,1,30,40,40,40,2,4,2,6,2,NA,4,4,NA,NA,2,30,8,1,4,NA,"0",1,1,9,1
57,1,1,"ongoingquitter1",11,7,2,6,1,NA,8,NA,28,34,1,2,4.28571428571429,57,57,57,1,7,2,6,1,NA,8,8,NA,NA,2,4,34,2,4,NA,"1",1,2,6,1
49,2,2,"newquitter",13,3,2,8,2,NA,8,NA,5,8,2,1,10.7142857142857,49,49,49,2,3,2,8,2,NA,8,8,NA,NA,1,10,8,1,3,NA,"0",2,2,12,2
83,1,1,"ex-smoker",5,2,1,8,1,NA,4,NA,40,41,1,2,30,83,83,83,1,2,1,8,1,NA,4,4,NA,NA,2,30,41,2,1,NA,"1",1,2,4,2
52,2,2,"ex-smoker",12,4,1,8,1,NA,5,NA,10,20,2,2,5.71428571428571,52,52,52,2,4,1,8,1,NA,5,5,NA,NA,1,5,20,2,2,NA,"1",1,2,8,-1
67,1,1,"ex-smoker",9,5,3,8,1,0,11,NA,20,4,1,1,55,67,67,67,1,5,3,8,1,0,11,11,NA,NA,2,55,4,1,6,NA,"0",1,2,2,-1
67,2,1,"ex-smoker",9,7,1,8,1,0,10,NA,30,18,1,1,0.714285714285714,67,67,67,2,7,1,8,1,0,10,10,NA,NA,1,0,18,1,4,NA,"0",2,2,7,1
44,2,1,"newquitter",13,3,1,8,2,NA,4,NA,24,80,2,1,20,44,44,44,2,3,1,8,2,NA,4,4,NA,NA,2,20,80,1,1,NA,"1",2,2,7,2
28,2,4,"ex-smoker",17,4,3,5,4,NA,4,NA,2,32,1,2,14,28,28,28,2,4,3,5,4,NA,4,4,NA,NA,2,14,32,2,5,NA,"0",2,2,6,2
